,figure,cross-section_name,id,sample,unit,lithology,longitude,latitude,elevation,age,pooled_age,mean_age,age_error_1s,age_error_pooled_1s,age_error_mean_1s,age_error_2s_plus,age_error_2s_minus,system,reference,geometry,distance_to_xsection,projected_distance_along_xsection
12,,Kuru Chu Cross Section,,BU07-29,,diamictite,91.23983333,26.87802778,465.0,7.5,,,1.2,,,,,ZHe,Long_2012(Tectonics),POINT (325160.335947867 12974140.20394878),3581.8249287027907,10818.116253626165
13,,Kuru Chu Cross Section,,BU07-27,,diamictite,91.23072222,26.90566667,975.0,8.86,,,1.12,,,,,ZHe,Long_2012(Tectonics),POINT (324297.9289043222 12977214.8953058),2675.5984801847208,13880.17870786937
14,,Kuru Chu Cross Section,,BU07-26,,quartzite,91.22816667,26.90827778,975.0,9.86,,,0.87,,,,,ZHe,Long_2012(Tectonics),POINT (324048.1459486367 12977507.72888689),2421.6592593499076,14169.415467791103
15,,Kuru Chu Cross Section,,BU07-24,,quartzite,91.19019444,26.95358333,505.0,8.52,,,1.2,,,,,ZHe,Long_2012(Tectonics),POINT (320348.4107696938 12982580.54030836),1350.1396502783548,19188.876504331187
16,,Kuru Chu Cross Section,,BU07-22,,quartzite,91.20627778,27.00844444,260.0,9.82,,,0.285,,,,,ZHe,Long_2012(Tectonics),POINT (322031.6048223306 12988635.89250738),246.41086373431133,25267.64767367415
17,,Kuru Chu Cross Section,,BU07-21,,quartzite,91.22197222,27.07247222,950.0,8.62,,,0.72,,,,,ZHe,Long_2012(Tectonics),POINT (323689.1734035753 12995707.56405053),1802.825231116756,32362.26861723423
18,,Kuru Chu Cross Section,,BU07-18,,quartzite,91.25686111,27.10705556,1580.0,9.68,,,0.215,,,,,ZHe,Long_2012(Tectonics),POINT (327202.523076858 12999490.67454519),5261.79291463947,36195.16484670921
19,,Kuru Chu Cross Section,,BU07-14,,quartzite,91.24,27.16608333,600.0,9.62,,,0.43,,,,,ZHe,Long_2012(Tectonics),POINT (325622.4290192006 13006053.77856503),3588.1372490470512,42735.035512040195
20,,Kuru Chu Cross Section,,BU07-13,,quartzite,91.23341667,27.18844444,645.0,9.97,,,1.81,,,,,ZHe,Long_2012(Tectonics),POINT (325004.9439640916 13008540.40039651),2935.2055910999984,45212.58595070881
21,,Kuru Chu Cross Section,,BH-342,,orthogneiss,91.29907,27.26742,2210.0,8.55,,,0.435,,,,,ZHe,Long_2012(Tectonics),POINT (331628.4863780174 13017200.24830384),9434.407875334044,53966.13663346916
22,,Kuru Chu Cross Section,,BU07-12,,quartzite,91.20288889,27.27808333,995.0,8.6,,,0.2,,,,,ZHe,Long_2012(Tectonics),POINT (322122.9291786536 13018514.91394469),88.95380861103742,55144.92654451756
23,,Kuru Chu Cross Section,,BU07-11,,orthogneiss,91.19339000000001,27.399690000000003,840.0,7.16,,,0.075,,,,,ZHe,Long_2012(Tectonics),POINT (321377.7272007739 13032002.08006924),1026.6798229094786,68620.07574521731
24,,Kuru Chu Cross Section,,BU07-9,,quartzite,91.18111111,27.40255556,930.0,6.7,,,0.065,,,,,ZHe,Long_2012(Tectonics),POINT (320168.0989151638 13032337.263775),2240.971270386083,68937.95148593666
25,,Kuru Chu Cross Section,,NBH-11,,quartzite,91.18354000000001,27.50625,1365.0,6.48,,,0.4505,,,,,ZHe,Long_2012(Tectonics),POINT (320576.2770104462 13043822.95650595),1996.853290832754,80428.30192791251
26,,Kuru Chu Cross Section,,BU07-6,,quartzite,91.21519444,27.59366667,1170.0,5.62,,,0.165,,,,,ZHe,Long_2012(Tectonics),POINT (323843.1796992774 13053463.21959676),1132.0509697151276,90114.23418900852
27,,Kuru Chu Cross Section,,BH-101,,orthogneiss,91.10072,27.34133,2380.0,8.37,,,0.26,,,,,ZHe,Long_2012(Tectonics),POINT (312114.8203857539 13025672.20453595),10198.249951844657,62158.56908649124
28,,Kuru Chu Cross Section,,BH-102,,paragneiss,91.05516999999999,27.329,2795.0,8.18,,,0.07,,,,,ZHe,Long_2012(Tectonics),POINT (307586.5143647974 13024375.48785034),14707.576800356892,60797.319309464256
30,,Kuru Chu Cross Section,,BH-38,,paragneiss,91.14425,27.540359999999996,2145.0,5.49,,,0.06,,,,,ZHe,Long_2012(Tectonics),POINT (316751.1569155366 13047659.84950727),5876.375114593145,84210.18004109868
31,,Kuru Chu Cross Section,,BH-378,,paragneiss,91.20487,27.665490000000002,1195.0,4.05,,,0.58,,,,,ZHe,Long_2012(Tectonics),POINT (322939.6539237241 13061436.02562185),114.76370939315345,98073.32467541537
32,,Kuru Chu Cross Section,,BH357,,gneiss,91.29827,27.98563,4085.0,7.42,,,0.55,,,,,ZHe,Coutland_2014(AGU_Publications),POINT (332645.5529212547 13096776.97357395),12015.65735681398,125959.35211759261
33,,Kuru Chu Cross Section,,BT0962,,paragneiss,91.13331,27.768390000000004,2360.0,4.793,,,0.0425,,,,,ZHe,Adams_2013(Lithosphere),POINT (316052.8546282307 13072942.55621026),6935.649418116797,109480.33679296102
34,,Kuru Chu Cross Section,,BT0963,,paragneiss,91.13331,27.749609999999997,2309.0,4.41,,,0.27,,,,,ZHe,Adams_2013(Lithosphere),POINT (316021.2671177663 13070861.64251954),6937.517752429485,107399.18421125213
35,,Kuru Chu Cross Section,,BT0964,,orthogneiss,91.13753,27.742890000000003,1882.0,4.23,,,0.135,,,,,ZHe,Adams_2013(Lithosphere),POINT (316425.9964315068 13070110.73102267),6522.106508684881,106654.12891659426
39,,Kuru Chu Cross Section,,BU07-29,,diamictite,91.23983333,26.87802778,465.0,3.01,,,0.6,,,,,AFT,Long_2012(Tectonics),POINT (325160.335947867 12974140.20394878),3581.8249287027907,10818.116253626165
40,,Kuru Chu Cross Section,,BU07-27,,diamictite,91.23072222,26.90566667,975.0,3.96,,,0.69,,,,,AFT,Long_2012(Tectonics),POINT (324297.9289043222 12977214.8953058),2675.5984801847208,13880.17870786937
41,,Kuru Chu Cross Section,,BU07-12,,quartzite,91.20288889,27.27808333,995.0,3.44,,,1.0,,,,,AFT,Long_2012(Tectonics),POINT (322122.9291786536 13018514.91394469),88.95380861103742,55144.92654451756
42,,Kuru Chu Cross Section,,BU07-11,,orthogneiss,91.19339000000001,27.399690000000003,840.0,4.52,,,0.73,,,,,AFT,Long_2012(Tectonics),POINT (321377.7272007739 13032002.08006924),1026.6798229094786,68620.07574521731
43,,Kuru Chu Cross Section,,BH38,,paragneiss,91.14425,27.540359999999996,2135.0,5.2,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications),POINT (316751.1569155366 13047659.84950727),5876.375114593145,84210.18004109868
45,,Kuru Chu Cross Section,,BH339,,gneiss,91.32806,27.3046,2026.0,3.6,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications),POINT (334553.7466503354 13021280.75194027),12301.09927749575,58087.99762002796
46,,Kuru Chu Cross Section,,BH342,,gneiss,91.29907,27.26742,2219.0,4.0,,,0.5,,,,,AFT,Coutland_2014(AGU_Publications),POINT (331628.4863780174 13017200.24830384),9434.407875334044,53966.13663346916
47,,Kuru Chu Cross Section,,BH351,,leucogranite,91.30357,27.97318,3870.0,3.0,,,1.2,,,,,AFT,Coutland_2014(AGU_Publications),POINT (333147.6926656613 13095390.2301916),11633.336313754393,125959.35211759261
48,,Kuru Chu Cross Section,,BH352,,gneiss,91.29016,27.974159999999998,3880.0,4.1,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications),POINT (331830.0531166455 13095517.21506744),10605.387147354184,125959.35211759261
49,,Kuru Chu Cross Section,,BH355,,leucogranite,91.2987,27.99005,4275.0,3.8,,,0.3,,,,,AFT,Coutland_2014(AGU_Publications),POINT (332694.6741762344 13097266.13084467),12362.759741871027,125959.35211759261
50,,Kuru Chu Cross Section,,BH357,,gneiss,91.29827,27.98563,4085.0,4.0,,,0.2,,,,,AFT,Coutland_2014(AGU_Publications),POINT (332645.5529212547 13096776.97357395),12015.65735681398,125959.35211759261
51,,Kuru Chu Cross Section,,BH362,,leucogranite,91.29901,27.9975,4300.0,4.2,,,0.4,,,,,AFT,Coutland_2014(AGU_Publications),POINT (332736.6708062438 13098091.18469942),12939.336319158954,125959.35211759261
53,,Kuru Chu Cross Section,,BH378,,paragneiss,91.20487,27.665490000000002,1180.0,2.7,,,0.2,,,,,AFT,Coutland_2014(AGU_Publications),POINT (322939.6539237241 13061436.02562185),114.76370939315345,98073.32467541537
54,,Kuru Chu Cross Section,,BH380,,leucogranite,91.23065,27.26965,2150.0,8.4,,,1.4,,,,,AFT,Coutland_2014(AGU_Publications),POINT (324857.9962726345 13017541.333692),2659.7373599275475,54210.502991187466
60,,Kuru Chu Cross Section,,BH100/2,,,91.153889,27.308806,1720.0,5.9,,,1.2,,,,,AFT,Grujic_2006(Geology)*1,POINT (317322.2904173899 13021989.61335484),4938.722614296244,58550.71735407384
62,,Kuru Chu Cross Section,,BH102,,,91.055167,27.329,2795.0,6.5,,,0.6,,,,,AFT,Grujic_2006(Geology)*1,POINT (307586.2174907173 13024375.49247849),14707.873710256496,60797.319697705956
63,,Kuru Chu Cross Section,,BH101,,,91.10072199999999,27.341333000000002,2380.0,6.1,,,0.6,,,,,AFT,Grujic_2006(Geology)*1,POINT (312115.0233394185 13025672.53392205),10198.05172258862,62158.90133723061
77,,Kuru Chu Cross Section,,BU07-29,,diamictite,91.23983333,26.87802778,465.0,1020.91,,,6.735,,,,,MAr,Long_2012(Tectonics),POINT (325160.335947867 12974140.20394878),3581.8249287027907,10818.116253626165
78,,Kuru Chu Cross Section,,BU07-22,,quartzite,91.20627778,27.00844444,260.0,14.78,,,0.17,,,,,MAr,Long_2012(Tectonics),POINT (322031.6048223306 12988635.89250738),246.41086373431133,25267.64767367415
79,,Kuru Chu Cross Section,,BU07-21,,quartzite,91.22197222,27.07247222,950.0,1395.7,,,7.5,,,,,MAr,Long_2012(Tectonics),POINT (323689.1734035753 12995707.56405053),1802.825231116756,32362.26861723423
80,,Kuru Chu Cross Section,,BU07-12,,quartzite,91.20288889,27.27808333,995.0,12.11,,,0.23,,,,,MAr,Long_2012(Tectonics),POINT (322122.9291786536 13018514.91394469),88.95380861103742,55144.92654451756
81,,Kuru Chu Cross Section,,BU07-11,,orthogneiss,91.19339000000001,27.399690000000003,840.0,11.78,,,0.205,,,,,MAr,Long_2012(Tectonics),POINT (321377.7272007739 13032002.08006924),1026.6798229094786,68620.07574521731
82,,Kuru Chu Cross Section,,BU07-9,,quartzite,91.18111111,27.40255556,930.0,12.95,,,0.235,,,,,MAr,Long_2012(Tectonics),POINT (320168.0989151638 13032337.263775),2240.971270386083,68937.95148593666
83,,Kuru Chu Cross Section,,NBH-11,,quartzite,91.18354000000001,27.50625,1365.0,9.18,,,0.085,,,,,MAr,Long_2012(Tectonics),POINT (320576.2770104462 13043822.95650595),1996.853290832754,80428.30192791251
84,,Kuru Chu Cross Section,,BU07-6,,quartzite,91.21519444,27.59366667,1170.0,8.4,,,0.385,,,,,MAr,Long_2012(Tectonics),POINT (323843.1796992774 13053463.21959676),1132.0509697151276,90114.23418900852
